pmt,x,y,z,dx,dy,dz
0,-381.070000,-76.250000,-872.900000,1.0,0.0,0.0
1,-381.070000,29.350000,-872.900000,1.0,0.0,0.0
2,-381.070000,-129.050000,-823.020000,1.0,0.0,0.0
3,-381.070000,-23.450000,-823.020000,1.0,0.0,0.0
4,-381.070000,82.150000,-823.020000,1.0,0.0,0.0
5,-381.070000,-129.050000,-773.140000,1.0,0.0,0.0
6,-381.070000,-23.450000,-773.140000,1.0,0.0,0.0
7,-381.070000,82.150000,-773.140000,1.0,0.0,0.0
8,-381.070000,-76.250000,-723.260000,1.0,0.0,0.0
9,-381.070000,29.350000,-723.260000,1.0,0.0,0.0
10,-381.070000,-76.250000,-673.380000,1.0,0.0,0.0
11,-381.070000,29.350000,-673.380000,1.0,0.0,0.0
12,-381.070000,-129.050000,-623.500000,1.0,0.0,0.0
13,-381.070000,-23.450000,-623.500000,1.0,0.0,0.0
14,-381.070000,82.150000,-623.500000,1.0,0.0,0.0
15,-381.070000,-129.050000,-573.620000,1.0,0.0,0.0
16,-381.070000,-23.450000,-573.620000,1.0,0.0,0.0
17,-381.070000,82.150000,-573.620000,1.0,0.0,0.0
18,-381.070000,-76.250000,-523.740000,1.0,0.0,0.0
19,-381.070000,29.350000,-523.740000,1.0,0.0,0.0
20,-381.070000,-76.250000,-473.860000,1.0,0.0,0.0
21,-381.070000,29.350000,-473.860000,1.0,0.0,0.0
22,-381.070000,-129.050000,-423.980000,1.0,0.0,0.0
23,-381.070000,-23.450000,-423.980000,1.0,0.0,0.0
24,-381.070000,82.150000,-423.980000,1.0,0.0,0.0
25,-381.070000,-129.050000,-374.100000,1.0,0.0,0.0
26,-381.070000,-23.450000,-374.100000,1.0,0.0,0.0
27,-381.070000,82.150000,-374.100000,1.0,0.0,0.0
28,-381.070000,-76.250000,-324.220000,1.0,0.0,0.0
29,-381.070000,29.350000,-324.220000,1.0,0.0,0.0
30,-381.070000,-76.250000,-274.340000,1.0,0.0,0.0
31,-381.070000,29.350000,-274.340000,1.0,0.0,0.0
32,-381.070000,-129.050000,-224.460000,1.0,0.0,0.0
33,-381.070000,-23.450000,-224.460000,1.0,0.0,0.0
34,-381.070000,82.150000,-224.460000,1.0,0.0,0.0
35,-381.070000,-129.050000,-174.580000,1.0,0.0,0.0
36,-381.070000,-23.450000,-174.580000,1.0,0.0,0.0
37,-381.070000,82.150000,-174.580000,1.0,0.0,0.0
38,-381.070000,-76.250000,-124.700000,1.0,0.0,0.0
39,-381.070000,29.350000,-124.700000,1.0,0.0,0.0
40,-381.070000,-76.250000,-74.820000,1.0,0.0,0.0
41,-381.070000,29.350000,-74.820000,1.0,0.0,0.0
42,-381.070000,-129.050000,-24.940000,1.0,0.0,0.0
43,-381.070000,-23.450000,-24.940000,1.0,0.0,0.0
44,-381.070000,82.150000,-24.940000,1.0,0.0,0.0
45,-381.070000,-129.050000,24.940000,1.0,0.0,0.0
46,-381.070000,-23.450000,24.940000,1.0,0.0,0.0
47,-381.070000,82.150000,24.940000,1.0,0.0,0.0
48,-381.070000,-76.250000,74.820000,1.0,0.0,0.0
49,-381.070000,29.350000,74.820000,1.0,0.0,0.0
50,-381.070000,-76.250000,124.700000,1.0,0.0,0.0
51,-381.070000,29.350000,124.700000,1.0,0.0,0.0
52,-381.070000,-129.050000,174.580000,1.0,0.0,0.0
53,-381.070000,-23.450000,174.580000,1.0,0.0,0.0
54,-381.070000,82.150000,174.580000,1.0,0.0,0.0
55,-381.070000,-129.050000,224.460000,1.0,0.0,0.0
56,-381.070000,-23.450000,224.460000,1.0,0.0,0.0
57,-381.070000,82.150000,224.460000,1.0,0.0,0.0
58,-381.070000,-76.250000,274.340000,1.0,0.0,0.0
59,-381.070000,29.350000,274.340000,1.0,0.0,0.0
60,-381.070000,-76.250000,324.220000,1.0,0.0,0.0
61,-381.070000,29.350000,324.220000,1.0,0.0,0.0
62,-381.070000,-129.050000,374.100000,1.0,0.0,0.0
63,-381.070000,-23.450000,374.100000,1.0,0.0,0.0
64,-381.070000,82.150000,374.100000,1.0,0.0,0.0
65,-381.070000,-129.050000,423.980000,1.0,0.0,0.0
66,-381.070000,-23.450000,423.980000,1.0,0.0,0.0
67,-381.070000,82.150000,423.980000,1.0,0.0,0.0
68,-381.070000,-76.250000,473.860000,1.0,0.0,0.0
69,-381.070000,29.350000,473.860000,1.0,0.0,0.0
70,-381.070000,-76.250000,523.740000,1.0,0.0,0.0
71,-381.070000,29.350000,523.740000,1.0,0.0,0.0
72,-381.070000,-129.050000,573.620000,1.0,0.0,0.0
73,-381.070000,-23.450000,573.620000,1.0,0.0,0.0
74,-381.070000,82.150000,573.620000,1.0,0.0,0.0
75,-381.070000,-129.050000,623.500000,1.0,0.0,0.0
76,-381.070000,-23.450000,623.500000,1.0,0.0,0.0
77,-381.070000,82.150000,623.500000,1.0,0.0,0.0
78,-381.070000,-76.250000,673.380000,1.0,0.0,0.0
79,-381.070000,29.350000,673.380000,1.0,0.0,0.0
80,-381.070000,-76.250000,723.260000,1.0,0.0,0.0
81,-381.070000,29.350000,723.260000,1.0,0.0,0.0
82,-381.070000,-129.050000,773.140000,1.0,0.0,0.0
83,-381.070000,-23.450000,773.140000,1.0,0.0,0.0
84,-381.070000,82.150000,773.140000,1.0,0.0,0.0
85,-381.070000,-129.050000,823.020000,1.0,0.0,0.0
86,-381.070000,-23.450000,823.020000,1.0,0.0,0.0
87,-381.070000,82.150000,823.020000,1.0,0.0,0.0
88,-381.070000,-76.250000,872.900000,1.0,0.0,0.0
89,-381.070000,29.350000,872.900000,1.0,0.0,0.0
90,-59.360000,-76.250000,-872.900000,-1.0,0.0,0.0
91,-59.360000,29.350000,-872.900000,-1.0,0.0,0.0
92,-59.360000,-129.050000,-823.020000,-1.0,0.0,0.0
93,-59.360000,-23.450000,-823.020000,-1.0,0.0,0.0
94,-59.360000,82.150000,-823.020000,-1.0,0.0,0.0
95,-59.360000,-129.050000,-773.140000,-1.0,0.0,0.0
96,-59.360000,-23.450000,-773.140000,-1.0,0.0,0.0
97,-59.360000,82.150000,-773.140000,-1.0,0.0,0.0
98,-59.360000,-76.250000,-723.260000,-1.0,0.0,0.0
99,-59.360000,29.350000,-723.260000,-1.0,0.0,0.0
100,-59.360000,-76.250000,-673.380000,-1.0,0.0,0.0
101,-59.360000,29.350000,-673.380000,-1.0,0.0,0.0
102,-59.360000,-129.050000,-623.500000,-1.0,0.0,0.0
103,-59.360000,-23.450000,-623.500000,-1.0,0.0,0.0
104,-59.360000,82.150000,-623.500000,-1.0,0.0,0.0
